2009,1,1221,0,10166,
2009,2,1152,0,10140,
2009,3,1094,0,10142,
2009,4,1157,0,10133,
2009,5,1208,0,10112,
2009,6,1274,0,10075,
2009,7,1348,0,10065,
2009,8,1354,0,10101,
2009,9,1367,0,10134,
2009,10,1314,1,10140,
2009,11,1240,2,10189,
2009,12,1324,0,10135,
2010,1,1271,0,10120,
2010,2,1178,0,10170,
2010,3,1097,0,10168,
2010,4,1135,0,10171,
2010,5,1238,0,10116,
2010,6,1256,0,10112,
2010,7,1341,0,10090,
2010,8,1398,0,10125,
2010,9,1407,0,10129,
2010,10,1325,0,10179,
2010,11,1345,0,10151,
2010,12,1352,0,10085,
2011,1,1257,0,10117,
2011,2,1200,0,10176,
2011,3,1096,0,10134,
2011,4,1152,0,10117,
2011,5,1175,0,10114,
2011,6,1234,0,10084,
2011,7,1278,0,10089,
2011,8,1345,0,10103,
2011,9,1303,0,10123,
2011,10,1244,0,10163,
2011,11,1167,0,10186,
2011,12,1153,0,10159,
2012,1,1134,0,10162,
2012,2,1097,0,10150,
2012,3,1116,0,10144,
2012,4,1104,0,10134,
2012,5,1152,0,10110,
2012,6,1152,0,10108,
2012,7,1269,0,10082,
2012,8,1302,0,10120,
2012,9,1332,0,10144,
2012,10,1310,0,10147,
2012,11,1306,0,10118,
2012,12,1200,0,10141,
2013,1,1115,0,10165,
2013,2,1077,0,10154,
2013,3,1093,0,10118,
2013,4,1154,0,10089,
2013,5,1180,0,10116,
2013,6,1180,0,10103,
2013,7,1271,0,10081,
2013,8,1392,0,10059,
2013,9,1225,0,10149,
2013,10,1200,0,10180,
2013,11,1227,0,10129,
2013,12,1247,0,10112,
2014,1,1095,0,10158,
2014,2,1007,0,10202,
2014,3,1067,0,10141,
2014,4,1069,0,10150,
2014,5,1161,0,10093,
2014,6,1176,0,10080,
2014,7,1201,0,10082,
2014,8,1248,0,10098,
2014,9,1283,0,10124,
2014,10,1145,0,10177,
2014,11,1168,0,10170,
2014,12,1224,0,10110,
2015,1,1152,3,10137,
2015,2,1112,0,10137,
2015,3,1070,3,10143,
2015,4,1031,2,10160,
2015,5,1152,4,10084,
2015,6,1176,1,10086,
2015,7,1209,3,10087,
2015,8,1309,4,10105,
2015,9,1251,2,10134,
2015,10,1224,2,10139,
2015,11,1133,1,10216,
2015,12,1129,2,10178,
2016,1,1160,0,10152,
2016,2,1097,0,10172,
2016,3,1082,0,10179,
2016,4,1134,0,10130,
2016,5,1173,0,10122,
2016,6,1223,0,10090,
2016,7,1235,0,10099,
2016,8,1298,0,10065,
2016,9,1245,0,10146,
2016,10,1131,0,10168,
2016,11,1149,0,10186,
2016,12,1181,0,10161,
2017,1,1152,0,10143,
2017,2,1164,0,10125,
2017,3,1109,0,10140,
2017,4,1112,0,10106,
2017,5,1099,0,10117,
2017,6,1187,0,10081,
2017,7,1277,0,10084,
2017,8,1246,0,10089,
2017,9,1218,0,10111,
2017,10,1097,0,10192,
2017,11,1114,0,10151,
2017,12,1136,0,10138,
2018,1,2061,0,10117,!!
2018,2,2020,0,10152,
2018,3,1979,0,10165,
2018,4,1971,0,10136,
2018,5,2038,0,10111,
2018,6,2078,1,10089,
2018,7,2136,2,10103,
2018,8,2197,0,10090,
2018,9,2174,0,10136,
2018,10,2134,0,10151,
2018,11,2038,0,10199,
2018,12,2080,0,10176,
2019,1,2062,0,10147,
2019,2,1956,0,10174,
2019,3,2000,0,10122,
2019,4,2012,0,10120,
2019,5,2025,0,10114,
2019,6,2071,0,10082,
2019,7,2127,0,10093,
2019,8,2183,0,10084,
2019,9,2103,0,10152,
2019,10,2069,0,10175,
2019,11,2064,0,10177,
2019,12,1987,0,10186,
2020,1,2019,0,10175,
2020,2,1997,0,10180,
2020,3,1996,0,10128,
2020,4,1972,0,10124,
2020,5,2042,0,10108,
2020,6,2123,0,10075,
2020,7,2154,0,10093,
2020,8,2199,0,10104,
2020,9,2210,0,10139,
2020,10,2157,0,10167,
2020,11,2060,0,10185,
2021,12,2058,0,10158,
2021,1,133,0,10160,!!
2021,2,159,0,10123,
2021,3,34,0,10170,
2021,4,42,0,10170,
2021,5,164,0,10083,
2021,6,181,0,10101,
2021,7,237,0,10112,
2021,8,313,0,10102,
2021,9,229,0,10154,
2021,10,177,0,10184,
2021,11,211,0,10142,
2021,12,161,0,10142,
2022,1,163,0,10133,
2022,2,134,0,10144,
2022,3,113,0,10139,
2022,4,17,0,10161,
2022,5,87,0,10113,
2022,6,201,0,10095,
2022,7,274,0,10085,
2022,8,336,0,10071,
2022,9,186,0,10145,
2022,10,160,0,10194,
2022,11,166,0,10177,
2022,12,165,0,10131,
2023,1,0,0,10149,
2023,2,0,0,10190,
2023,3,0,0,10189,
2023,4,0,0,10125,
2023,5,0,0,10137,
2023,6,0,0,10080,
2023,7,0,0,10086,
2023,8,0,0,10092,
2023,9,0,0,10130,
2023,10,0,0,10133,
2023,11,0,0,10147,
2023,12,0,0,10181,
