   0.0000   0.0000   0.0000   0.0000  35.4952  15.0858  17.1835 -18.6285   4.4207
   0.0000   0.0000   0.0000   0.0000  35.1810  15.0880  17.1792 -18.5640   4.3907
   0.0000   0.0000   0.0000   0.0000  34.8681  15.0866  17.1778 -18.5020   4.3616
   0.0000   0.0000   0.0000   0.0000  34.5575  15.0787  17.1764 -18.4397   4.3330
   0.0000   0.0000   0.0000   0.0000  34.2480  15.0633  17.1756 -18.3778   4.3043
   0.0000   0.0000   0.0000   0.0000  33.9409  15.0469  17.1731 -18.3164   4.2754
   0.0000   0.0000   0.0000   0.0000  33.6340  15.0330  17.1681 -18.2549   4.2461
   0.0000   0.0000   0.0000   0.0000  33.3335  15.0134  17.1619 -18.1942   4.2179
   0.0000   0.0000   0.0000   0.0000  33.0323  14.9935  17.1551 -18.1325   4.1893
   0.0000   0.0000   0.0000   0.0000  32.7289  14.9773  17.1450 -18.0711   4.1599
   0.0000   0.0000   0.0000   0.0000  32.4244  14.9654  17.1300 -18.0105   4.1314
   0.0000   0.0000   0.0000   0.0000  32.1187  14.9521  17.1153 -17.9501   4.1039
   0.0000   0.0000   0.0000   0.0000  31.8150  14.9341  17.0999 -17.8896   4.0767
   0.0000   0.0000   0.0000   0.0000  31.5145  14.9113  17.0846 -17.8293   4.0493
   0.0000   0.0000   0.0000   0.0000  31.2236  14.8780  17.0699 -17.7693   4.0225
   0.0000   0.0000   0.0000   0.0000  30.9357  14.8401  17.0552 -17.7092   3.9968
   0.0000   0.0000   0.0000   0.0000  30.6501  14.7992  17.0403 -17.6496   3.9713
   0.0000   0.0000   0.0000   0.0000  30.3685  14.7527  17.0253 -17.5895   3.9455
   0.0000   0.0000   0.0000   0.0000  30.0827  14.7029  17.0100 -17.5290   3.9192
   0.0000   0.0000   0.0000   0.0000  29.7957  14.6518  16.9928 -17.4679   3.8919
   0.0000   0.0000   0.0000   0.0000  29.5154  14.5928  16.9758 -17.4068   3.8643
   0.0000   0.0000   0.0000   0.0000  29.2335  14.5334  16.9590 -17.3458   3.8367
   0.0000   0.0000   0.0000   0.0000  28.9489  14.4725  16.9422 -17.2847   3.8089
   0.0000   0.0000   0.0000   0.0000  28.6652  14.4101  16.9256 -17.2228   3.7803
   0.0000   0.0000   0.0000   0.0000  28.3810  14.3493  16.9066 -17.1607   3.7516
