tobashi,,st,lon,lat,tem,sal,oxg
,201701,,,,,,
1,2017010613.asc,13,9,2,2,3,
1,2017010614.asc,14,11,2,2,3,
1,2017010622.asc,22,10,2,2,3,
,201702,,,,,,
1,a17020911.asc,11,7,2,3,6,
1,a17020912.asc,12,8,2,3,6,
1,a17020913.asc,13,9,2,3,6,
1,a17021014.asc,14,11,2,3,6,
1,a17021022.asc,22,10,2,3,6,
1,a1702905.asc,5,5,1,3,6,
1,a1702906.asc,6,4,1,3,6,
1,a17020901.asc,1,10,1,3,6,
1,a17020902.asc,2,8,1,3,6,
1,a17020902a.asc,2a,9,1,3,6,
1,a17020903.asc,3,7,1,3,6,
1,a17020904.asc,4,6,1,3,6,
1,a17020907.asc,7,0,0,3,6,
1,a17020908.asc,8,4,2,3,6,
1,a17020909.asc,9,5,2,3,6,
1,a17020910.asc,10,6,2,3,6,
,201703,,,,,,
1,17030201.asc,1,10,1,3,6,
1,17030202.asc,2,8,1,3,6,
1,17030202a.asc,2a,9,1,3,6,
1,17030203.asc,3,7,1,3,6,
1,17030204.asc,4,6,1,3,6,
1,17030205.asc,5,5,1,3,6,
1,17030206.asc,6,4,1,3,6,
1,17030214.asc,14,11,2,3,6,
1,17030222.asc,22,10,2,3,6,
1,17020311.asc,11,7,2,3,6,
1,17022812.asc,12,8,2,3,6,
1,17022813.asc,13,9,2,3,6,
1,17030108.asc,8,4,2,3,6,
1,17030109.asc,9,5,2,3,6,
1,17030110.asc,10,6,2,3,6,
1,17030115.asc,15,3,1,3,6,
1,17030116.asc,16,2,1,3,6,
1,17030117.asc,17,1,1,3,6,
1,17030118.asc,18,0,0,3,6,
1,17030119.asc,19,1,2,3,6,
1,17030120.asc,20,2,2,3,6,
1,17030121.asc,21,3,2,3,6,
,201704,,,,,,
1,17041113.asc,13,9,2,3,6,
1,17041114.asc,14,11,2,3,6,
1,17041122.asc,22,10,2,3,6,
1,17041201.asc,1,10,1,3,6,
1,17041202.asc,2,8,1,3,6,
1,17041202a.asc,2a,9,1,3,6,
1,17041103.asc,3,7,1,3,6,
1,17041104.asc,4,6,1,3,6,
1,17041105.asc,5,5,1,3,6,
1,17041106.asc,6,4,1,3,6,
1,17041107.asc,7,0,0,3,6,
1,17041108.asc,8,4,2,3,6,
1,17041109.asc,9,5,2,3,6,
1,17041110.asc,10,6,2,3,6,
1,17041111.asc,11,7,2,3,6,
1,17041112.asc,12,8,2,3,6,
,201705,,,,,,
5,ST-8.csv,8,4,2,2,4,
5,ST-9.csv,9,5,2,2,4,
5,ST-10.csv,10,6,2,2,4,
5,ST-11.csv,11,7,2,2,4,
5,ST-12.csv,12,8,2,2,4,
5,ST-13.csv,13,9,2,2,4,
5,ST-14.csv,14,11,2,2,4,
5,ST-22.csv,22,10,2,2,4,
5,ST-1.csv,1,10,1,2,4,
5,ST-2.csv,2,8,1,2,4,
5,ST-2a.csv,2a,9,1,2,4,
5,ST-3.csv,3,7,1,2,4,
5,ST-4.csv,4,6,1,2,4,
5,ST-5.csv,5,5,1,2,4,
5,ST-6.csv,6,4,1,2,4,
5,ST-7.csv,7,0,0,2,4,
,201706,,,,,,
1,17060105.asc,5,5,1,3,6,
1,17060106.asc,6,4,1,3,6,
1,17060114.asc,14,11,2,3,6,
1,17060115.asc,15,3,1,3,6,
1,17060116.asc,16,2,1,3,6,
1,17060122.asc,22,10,2,3,6,
1,1706012a.asc,2a,9,1,3,6,
1,17053108.asc,8,4,2,3,6,
1,17053109.asc,9,5,2,3,6,
1,17053110.asc,10,6,2,3,6,
1,17053111.asc,11,7,2,3,6,
1,17053112.asc,12,8,2,3,6,
1,17053113.asc,13,9,2,3,6,
1,17053117.asc,17,1,1,3,6,
1,17053118.asc,18,0,0,3,6,
1,17053119.asc,19,1,2,3,6,
1,17053120.asc,20,2,2,3,6,
1,17053121.asc,21,3,2,3,6,
1,17060101.asc,1,10,1,3,6,
1,17060102.asc,2,8,1,3,6,
1,17060103.asc,3,7,1,3,6,
1,17060104.asc,4,6,1,3,6,
,201707,,,,,,
5,ST-22.csv,22,10,2,2,4,
5,ST-13.csv,13,9,2,2,4,
5,ST-14.csv,14,11,2,2,4,
,201708,,,,,,
5,ST-11CTD.csv,11,7,2,2,4,
5,ST-12CTD.csv,12,8,2,2,4,
5,ST-13CTD.csv,13,9,2,2,4,
5,ST-14CTD.csv,14,11,2,2,4,
5,ST-22CTD.csv,22,10,2,2,4,
5,ST-1CTD.csv,1,10,1,2,4,
5,ST-2aCTD.csv,2a,9,1,2,4,
5,ST-2CTD.csv,2,8,1,2,4,
5,ST-3CTD.csv,3,7,1,2,4,
5,ST-4CTD.csv,4,6,1,2,4,
5,ST-5CTD.csv,5,5,1,2,4,
5,ST-6CTD.csv,6,4,1,2,4,
5,ST-7CTD.csv,7,0,0,2,4,
5,ST-8CTD.csv,8,4,2,2,4,
5,ST-9CTD.csv,9,5,2,2,4,
5,ST-10CTD.csv,10,6,2,2,4,
,201709,,,,,,
1,17083017.asc,17,1,1,3,6,
1,17083018.asc,18,0,0,3,6,
1,17083019.asc,19,1,2,3,6,
1,17083020.asc,20,2,2,3,6,
1,17083021.asc,21,3,2,3,6,
1,17083108.asc,8,4,2,3,6,
1,17083109.asc,9,5,2,3,6,
1,17083110.asc,10,6,2,3,6,
1,17083111.asc,11,7,2,3,6,
1,17083112.asc,12,8,2,3,6,
1,17083113.asc,13,9,2,3,6,
1,1708302a.asc,2a,9,1,3,6,
1,17082901.asc,1,10,1,3,6,
1,17082914.asc,14,11,2,3,6,
1,17082922.asc,22,10,2,3,6,
1,17083002.asc,2,8,1,3,6,
1,17083003.asc,3,7,1,3,6,
1,17083004.asc,4,6,1,3,6,
1,17083005.asc,5,5,1,3,6,
1,17083006.asc,6,4,1,3,6,
1,17083015.asc,15,3,1,3,6,
1,17083016.asc,16,2,1,3,6,
,201710,,,,,,
1,2017101712.asc,12,8,2,2,3,
1,2017101713.asc,13,9,2,2,3,
1,2017101714.asc,14,11,2,2,3,
1,2017101722.asc,22,10,2,2,3,
1,201710162a.asc,2a,9,1,2,3,
1,2017101601.asc,1,10,1,2,3,
1,2017101602.asc,2,8,1,2,3,
1,2017101603.asc,3,7,1,2,3,
1,2017101604.asc,4,6,1,2,3,
1,2017101605.asc,5,5,1,2,3,
1,2017101606.asc,6,4,1,2,3,
1,2017101607.asc,7,0,0,2,3,
1,2017101608.asc,8,4,2,2,3,
1,2017101609.asc,9,5,2,2,3,
1,2017101610.asc,10,6,2,2,3,
1,2017101711.asc,11,7,2,2,3,
,201711,,,,,,
1,17110221.asc,21,3,2,3,6,
1,17110301.asc,1,10,1,3,6,
1,17110302.asc,2,8,1,3,6,
1,17110303.asc,3,7,1,3,6,
1,17110304.asc,4,6,1,3,6,
1,17110305.asc,5,5,1,3,6,
1,17110306.asc,6,4,1,3,6,
1,17110314.asc,14,11,2,3,6,
1,17110315.asc,15,3,1,3,6,
1,17110316.asc,16,2,1,3,6,
1,17110317.asc,17,1,1,3,6,
1,17110322.asc,22,10,2,3,6,
1,1711032a.asc,2a,9,1,3,6,
1,17110208.asc,8,4,2,3,6,
1,17110209.asc,9,5,2,3,6,
1,17110210.asc,10,6,2,3,6,
1,17110211.asc,11,7,2,3,6,
1,17110212.asc,12,8,2,3,6,
1,17110213.asc,13,9,2,3,6,
1,17110218.asc,18,0,0,3,6,
1,17110219.asc,19,1,2,3,6,
1,17110220.asc,20,2,2,3,6,
,201712,,,,,,
1,17120407.asc,7,0,0,3,6,
1,17120408.asc,8,4,2,3,6,
1,17120409.asc,9,5,2,3,6,
1,17120410.asc,10,6,2,3,6,
1,17120411.asc,11,7,2,3,6,
1,17120412.asc,12,8,2,3,6,
1,1712032a.asc,2a,9,1,3,6,
1,17120301.asc,1,10,1,3,6,
1,17120302.asc,2,8,1,3,6,
1,17120303.asc,3,7,1,3,6,
1,17120304.asc,4,6,1,3,6,
1,17120313.asc,13,9,2,3,6,
1,17120314.asc,14,11,2,3,6,
1,17120322.asc,22,10,2,3,6,
1,17120405.asc,5,5,1,3,6,
1,17120406.asc,6,4,1,3,6,
