tobashi,,st,lon,lat,tem,sal,oxg
,201601,,,,,,
1,16011314.asc,14,11,2,2,3,
1,16011322.asc,22,10,2,2,3,
1,16011313.asc,13,9,2,2,3,
,201602,,,,,,
1,16021201.asc,1,10,1,3,6,
1,16021202.asc,2,8,1,3,6,
1,16021203.asc,3,7,1,3,6,
1,16021214.asc,14,11,2,3,6,
5,CTD20160211_11.csv,11,7,2,2,4,
5,CTD20160212_22.csv,22,10,2,2,4,
2,XCTD-160211_12.xlsx,12,8,2,2,4,
1,1602122a.asc,2a,9,1,3,6,
1,16021104.asc,4,6,1,3,6,
1,16021105.asc,5,5,1,3,6,
1,16021106.asc,6,4,1,3,6,
1,16021107.asc,7,0,0,3,6,
1,16021108.asc,8,4,2,3,6,
1,16021109.asc,9,5,2,3,6,
1,16021110.asc,10,6,2,3,6,
1,16021113.asc,13,9,2,3,6,
,201603,,,,,,
1,b16030403.asc,3,7,1,3,6,
1,b16030404.asc,4,6,1,3,6,
1,b16030405.asc,5,5,1,3,6,
1,b16030406.asc,6,4,1,3,6,
1,b16030414.asc,14,11,2,3,6,
1,b16030415.asc,15,3,1,3,6,
1,b16030422.asc,22,10,2,3,6,
5,CTD2016030201_13.csv,13,9,2,2,4,
5,CTD2016030301_09.csv,9,5,2,2,4,
5,CTD2016030301_10.csv,10,6,2,2,4,
5,CTD2016030301_11.csv,11,7,2,2,4,
5,CTD2016030301_12.csv,12,8,2,2,4,
1,d16030401.asc,1,10,1,3,6,
1,16030316.asc,16,2,1,3,6,
1,16030317.asc,17,1,1,3,6,
1,b16030308.asc,8,4,2,3,6,
1,b16030318.asc,18,0,0,3,6,
1,b16030319.asc,19,1,2,3,6,
1,b16030320.asc,20,2,2,3,6,
1,b16030321.asc,21,3,2,3,6,
1,b16030402.asc,2,8,1,3,6,
1,b16030402a.asc,2a,9,1,3,6,
,201604,,,,,,
1,16041613.asc,13,9,2,3,6,
1,16041714.asc,14,11,2,3,6,
1,16041722.asc,22,10,2,3,6,
2,ST-5.xlsx,5,5,1,2,4,
2,ST-6.xlsx,6,4,1,2,4,
2,ST-7.xlsx,7,0,0,2,4,
2,St-9.xlsx,9,5,2,2,4,
2,St-10.xlsx,10,6,2,2,4,
1,16041601.asc,1,10,1,3,6,
1,16041602.asc,2,8,1,3,6,
1,16041602a.asc,2a,9,1,3,6,
1,16041603.asc,3,7,1,3,6,
1,16041604.asc,4,6,1,3,6,
1,16041608.asc,8,4,2,3,6,
1,16041611.asc,11,7,2,3,6,
1,16041612.asc,12,8,2,3,6,
,201605,,,,,,
1,16042603.asc,3,7,1,2,3,
1,16042604.asc,4,6,1,2,3,
1,16042605.asc,5,5,1,2,3,
1,16042606.asc,6,4,1,2,3,
1,16042507.asc,7,0,0,2,3,
1,16042508.asc,8,4,2,2,3,
1,16042509.asc,9,5,2,2,3,
1,16042510.asc,10,6,2,2,3,
1,16042511.asc,11,7,2,2,3,
1,16042512.asc,12,8,2,2,3,
1,16042513.asc,13,9,2,2,3,
1,16042514.asc,14,11,2,2,3,
1,16042522.asc,22,10,2,2,3,
1,16042601.asc,1,10,1,2,3,
1,16042602.asc,2,8,1,2,3,
1,16042602a.asc,2a,9,1,2,3,
,201606,,,,,,
1,a16060903.asc,3,7,1,3,6,
1,a16060904.asc,4,6,1,3,6,
1,a16060905.asc,5,5,1,3,6,
1,a16060906.asc,6,4,1,3,6,
1,a16060914.asc,14,11,2,3,6,
1,a16060915.asc,15,3,1,3,6,
1,a16060916.asc,16,2,1,3,6,
1,a16060917.asc,17,1,1,3,6,
1,a16060918.asc,18,0,0,3,6,
1,a16060919.asc,19,1,2,3,6,
1,a16060922.asc,22,10,2,3,6,
1,16060808.asc,8,4,2,3,6,
1,16060809.asc,9,5,2,3,6,
1,16060810.asc,10,6,2,3,6,
1,16060811.asc,11,7,2,3,6,
1,16060920.asc,20,2,2,3,6,
1,a16060812.asc,12,8,2,3,6,
1,a16060813.asc,13,9,2,3,6,
1,a16060821.asc,21,3,2,3,6,
1,a16060901.asc,1,10,1,3,6,
1,a16060902.asc,2,8,1,3,6,
1,a16060902a.asc,2a,9,1,3,6,
,201607,,,,,,
1,16062722.asc,22,10,2,2,3,
1,16062713.asc,13,9,2,2,3,
1,16062714.asc,14,11,2,2,3,
