tobashi,,st,lon,lat,tem,sal,oxg
0,201101,,,,,,
1,110112ST13.asc,13,9,2,2,3,
1,110112ST14.asc,14,11,2,2,3,
1,110112ST22.asc,22,10,2,2,3,
,201103,,,,,,
1,c11031115.asc,15,3,1,2,6,3
1,c11031116.asc,16,2,1,2,6,3
1,c11031117.asc,17,1,1,2,6,3
1,c11031118.asc,18,0,0,2,6,3
1,c11031119.asc,19,1,2,2,6,3
1,c11031120.asc,20,2,2,2,6,3
1,c11031121.asc,21,3,2,2,6,3
1,c11031208.asc,8,4,2,2,6,3
1,c11031209.asc,9,5,2,2,6,3
1,c11031210.asc,10,6,2,2,6,3
1,c11031211.asc,11,7,2,2,6,3
1,c11031212.asc,12,8,2,2,6,3
1,c11031213.asc,13,9,2,2,6,3
1,c11031214.asc,14,11,2,2,6,3
1,c11031222.asc,22,10,2,2,6,3
1,c1103112a.asc,2-a,9,1,2,6,3
1,c11031001.asc,1,10,1,2,6,3
1,c11031102.asc,2,8,1,2,6,3
1,c11031103.asc,3,7,1,2,6,3
1,c11031104.asc,4,6,1,2,6,3
1,c11031105.asc,5,5,1,2,6,3
1,c11031106.asc,6,4,1,2,6,3
,201104,,,,,,
1,b11041412.asc,12,8,2,2,6,3
1,b11041413.asc,13,9,2,2,6,3
1,b11041414.asc,14,11,2,2,6,3
1,b11041422.asc,22,10,2,2,6,3
1,b11041501.asc,1,10,1,2,6,3
1,b11041502.asc,2,8,1,2,6,3
1,b11041503.asc,3,7,1,2,6,3
1,b11041504.asc,4,6,1,2,6,3
1,b11041505.asc,5,5,1,2,6,3
1,b11041506.asc,6,4,1,2,6,3
1,b11041507.asc,7,0,0,2,6,3
1,b1104152a.asc,2-a,9,1,2,6,3
1,b11041408.asc,8,4,2,2,6,3
1,b11041409.asc,9,5,2,2,6,3
1,b11041410.asc,10,6,2,2,6,3
1,b11041411.asc,11,7,2,2,6,3
,201105,,,,,,
1,11051112.asc,12,8,2,2,3,
1,11051113.asc,13,9,2,2,3,
1,11051114.asc,14,11,2,2,3,
1,11051122.asc,22,10,2,2,3,
1,11051201.asc,1,10,1,2,3,
1,11051202.asc,2,8,1,2,3,
1,11051202a.asc,2-a,9,1,2,3,
1,11051203.asc,3,7,1,2,3,
1,11051204.asc,4,6,1,2,3,
1,11051206.asc,6,4,1,2,3,
1,110512st5.asc,5,5,1,2,3,
1,11051107.asc,7,0,0,2,3,
1,11051108.asc,8,4,2,2,3,
1,11051109.asc,9,5,2,2,3,
1,11051110.asc,10,6,2,2,3,
1,11051111.asc,11,7,2,2,3,
,201106,,,,,,
1,b11053101.asc,1,10,1,2,6,3
1,b11053102.asc,2,8,1,2,6,3
1,b11053102a.asc,2-a,9,1,2,6,3
1,b11053103.asc,3,7,1,2,6,3
1,b11053104.asc,4,6,1,2,6,3
1,b11053105.asc,5,5,1,2,6,3
1,b11060106.asc,6,4,1,2,6,3
1,b11060108.asc,8,4,2,2,6,3
1,b11060109.asc,9,5,2,2,6,3
1,b11060110.asc,10,6,2,2,6,3
1,b11060111.asc,11,7,2,2,6,3
1,b11060115.asc,15,3,1,2,6,3
1,b11060116.asc,16,2,1,2,6,3
1,b11060117.asc,17,1,1,2,6,3
1,b11060118.asc,18,0,0,2,6,3
1,b11060119.asc,19,1,2,2,6,3
1,b11060120.asc,20,2,2,2,6,3
1,b11060121.asc,21,3,2,2,6,3
1,b11052912.asc,12,8,2,2,6,3
1,b11052913.asc,13,9,2,2,6,3
1,b11052914.asc,14,11,2,2,6,3
1,b11052922.asc,22,10,2,2,6,3
,201107,,,,,,
1,11070114.asc,14,11,2,2,3,
1,11070122.asc,22,10,2,2,3,
1,11070113.asc,13,9,2,2,3,
,201108,,,,,,
1,11072705.asc,5,5,1,2,3,
1,11072706.asc,6,4,1,2,3,
1,1107272a.asc,2-a,9,1,2,3,
1,11072607.asc,7,0,0,2,3,
1,11072608.asc,8,4,2,2,3,
1,11072609.asc,9,5,2,2,3,
1,11072610.asc,10,6,2,2,3,
1,11072611.asc,11,7,2,2,3,
1,11072612.asc,12,8,2,2,3,
1,11072613.asc,13,9,2,2,3,
1,11072614.asc,14,11,2,2,3,
1,11072622.asc,22,10,2,2,3,
1,11072701.asc,1,10,1,2,3,
1,11072702.asc,2,8,1,2,3,
1,11072703.asc,3,7,1,2,3,
1,11072704.asc,4,6,1,2,3,
,201109,,,,,,
1,b11083115.asc,15,3,1,2,6,3
1,b11083116.asc,16,2,1,2,6,3
1,b11083117.asc,17,1,1,2,6,3
1,b11083118.asc,18,0,0,2,6,3
1,b11083119.asc,19,1,2,2,6,3
1,b11083120.asc,20,2,2,2,6,3
1,b11083121.asc,21,3,2,2,6,3
1,b11083122.asc,22,10,2,2,6,3
1,b11090101.asc,1,10,1,2,6,3
1,b11090102.asc,2,8,1,2,6,3
1,b11090102a.asc,2-a,9,1,2,6,3
1,b11090103.asc,3,7,1,2,6,3
1,b11090104.asc,4,6,1,2,6,3
1,b11090105.asc,5,5,1,2,6,3
1,b11083014.asc,14,11,2,2,6,3
1,b11083106.asc,6,4,1,2,6,3
1,b11083108.asc,8,4,2,2,6,3
1,b11083109.asc,9,5,2,2,6,3
1,b11083110.asc,10,6,2,2,6,3
1,b11083111.asc,11,7,2,2,6,3
1,b11083112.asc,12,8,2,2,6,3
1,b11083113.asc,13,9,2,2,6,3
,201110,,,,,,
1,11092714.asc,14,11,2,2,3,
1,11092722.asc,22,10,2,2,3,
1,11092801.asc,1,10,1,2,3,
1,11092802.asc,2,8,1,2,3,
1,11092802a.asc,2-a,9,1,2,3,
1,11092803.asc,3,7,1,2,3,
1,11092804.asc,4,6,1,2,3,
1,11092805.asc,5,5,1,2,3,
1,11092806.asc,6,4,1,2,3,
1,11092707.asc,7,0,0,2,3,
1,11092708.asc,8,4,2,2,3,
1,11092709.asc,9,5,2,2,3,
1,11092710.asc,10,6,2,2,3,
1,11092711.asc,11,7,2,2,3,
1,11092712.asc,12,8,2,2,3,
1,11092713.asc,13,9,2,2,3,
,201111,,,,,,
1,b11102909.asc,9,5,2,2,6,3
1,b11102910.asc,10,6,2,2,6,3
1,b11102911.asc,11,7,2,2,6,3
1,b11102915.asc,15,3,1,2,6,3
1,b11102916.asc,16,2,1,2,6,3
1,b11102917.asc,17,1,1,2,6,3
1,b11102918.asc,18,0,0,2,6,3
1,b11102919.asc,19,1,2,2,6,3
1,b11102920.asc,20,2,2,2,6,3
1,b11102921.asc,21,3,2,2,6,3
1,b11103001.asc,1,10,1,2,6,3
1,b11103002.asc,2,8,1,2,6,3
1,b11103002a.asc,2-a,9,1,2,6,3
1,b11103003.asc,3,7,1,2,6,3
1,b11103014.asc,14,11,2,2,6,3
1,b11103022.asc,22,10,2,2,6,3
1,b11102812.asc,12,8,2,2,6,3
1,b11102813.asc,13,9,2,2,6,3
1,b11102904.asc,4,6,1,2,6,3
1,b11102905.asc,5,5,1,2,6,3
1,b11102906.asc,6,4,1,2,6,3
1,b11102908.asc,8,4,2,2,6,3
