tobashi,,st,lon,lat,tem,sal,oxg
1,18110103.asc,3,7,1,3,6,
1,18110104.asc,4,6,1,3,6,
1,18110105.asc,5,5,1,3,6,
1,18110106.asc,6,4,1,3,6,
1,18110113.asc,13,9,2,3,6,
1,18110114.asc,14,11,2,3,6,
1,18110115.asc,15,3,1,3,6,
1,18110122.asc,22,10,2,3,6,
,201812,,,,,,
1,18120210.asc,10,6,2,3,6,
1,18120213.asc,13,9,2,3,6,
1,18120214.asc,14,11,2,3,6,
1,18120222.asc,22,10,2,3,6,
1,18120311.asc,11,7,2,3,6,
1,18120312.asc,12,8,2,3,6,
1,1812022a.asc,2a,9,1,3,6,
1,18120201.asc,1,10,1,3,6,
1,18120202.asc,2,8,1,3,6,
1,18120203.asc,3,7,1,3,6,
1,18120204.asc,4,6,1,3,6,
1,18120205.asc,5,5,1,3,6,
1,18120206.asc,6,4,1,3,6,
1,18120207.asc,7,0,0,3,6,
1,18120208.asc,8,4,2,3,6,
1,18120209.asc,9,5,2,3,6,
