tobashi,,st,lon,lat,tem,sal,oxg
1,a10052908.asc,8,4,2,2,6,3
1,a10052915.asc,15,3,1,2,6,3
1,a10052916.asc,16,2,1,2,6,3
1,a10052917.asc,17,1,1,2,6,3
1,a10052918.asc,18,0,0,2,6,3
1,a10052919.asc,19,1,2,2,6,3
1,a10052920.asc,20,2,2,2,6,3
1,a10052921.asc,21,3,2,2,6,3
0,201007,,,,,,
1,2010070122.asc,22,10,2,2,3,
1,2010070113.asc,13,9,2,2,3,
1,2010070114.asc,14,11,2,2,3,
,201008,,,,,,
1,ST-8.asc,8,4,2,2,3,
1,ST-9.asc,9,5,2,2,3,
1,ST-10.asc,10,6,2,2,3,
1,ST-11.asc,11,7,2,2,3,
1,ST-12.asc,12,8,2,2,3,
1,ST-13.asc,13,9,2,2,3,
1,ST-14.asc,14,11,2,2,3,
1,ST-22.asc,22,10,2,2,3,
1,ST-1.asc,1,10,1,2,3,
1,ST-2.asc,2,8,1,2,3,
1,ST-2a.asc,2-a,9,1,2,3,
1,ST-3.asc,3,7,1,2,3,
1,ST-4.asc,4,6,1,2,3,
1,ST-5.asc,5,5,1,2,3,
1,ST-6.asc,6,4,1,2,3,
1,ST-7.asc,7,0,0,2,3,
,201009,,,,,,
1,c10091604.asc,4,6,1,2,6,3
1,c10091605.asc,5,5,1,2,6,3
1,c10091606.asc,6,4,1,2,6,3
1,c10091614.asc,14,11,2,2,6,3
1,c10091616.asc,16,2,1,2,6,3
1,c10091617.asc,17,1,1,2,6,3
1,c10091622.asc,22,10,2,2,6,3
1,c10091718.asc,18,0,0,2,6,3
1,c10091719.asc,19,1,2,2,6,3
1,c10091720.asc,20,2,2,2,6,3
1,c10091721.asc,21,3,2,2,6,3
1,a10091615.asc,15,3,1,2,6,3
1,a10091708.asc,8,4,2,2,6,3
1,C10091012.asc,12,8,2,2,6,3
1,c10091013.asc,13,9,2,2,6,3
1,c10091109.asc,9,5,2,2,6,3
1,c10091110.asc,10,6,2,2,6,3
1,c10091111.asc,11,7,2,2,6,3
1,c10091601.asc,1,10,1,2,6,3
1,c10091602.asc,2,8,1,2,6,3
1,c10091602a.asc,2-a,9,1,2,6,3
1,c10091603.asc,3,7,1,2,6,3
,201010,,,,,,
1,1006ST-14.asc,14,11,2,2,3,
1,1006ST-22.asc,22,10,2,2,3,
1,1007ST-1.asc,1,10,1,2,3,
1,1007ST-2.asc,2,8,1,2,3,
1,1007ST-2a.asc,2-a,9,1,2,3,
1,1007ST-3.asc,3,7,1,2,3,
1,1007ST-4.asc,4,6,1,2,3,
1,1007ST-5.asc,5,5,1,2,3,
1,1006ST-6.asc,6,4,1,2,3,
1,1006ST-7.asc,7,0,0,2,3,
1,1006ST-8.asc,8,4,2,2,3,
1,1006ST-9.asc,9,5,2,2,3,
1,1006ST-10.asc,10,6,2,2,3,
1,1006ST-11.asc,11,7,2,2,3,
1,1006ST-12.asc,12,8,2,2,3,
1,1006ST-13.asc,13,9,2,2,3,
,201011,,,,,,
1,b10100312a.asc,2-a,9,1,2,6,3
1,b10103008.asc,8,4,2,2,6,3
1,b10103009.asc,9,5,2,2,6,3
1,b10103010.asc,10,6,2,2,6,3
1,b10103011.asc,11,7,2,2,6,3
1,b10103012.asc,12,8,2,2,6,3
1,b10103013.asc,13,9,2,2,6,3
1,b10103018.asc,18,0,0,2,6,3
1,b10103019.asc,19,1,2,2,6,3
1,b10103020.asc,20,2,2,2,6,3
1,b10103021.asc,21,3,2,2,6,3
1,b10103101.asc,1,10,1,2,6,3
1,b10103102.asc,2,8,1,2,6,3
1,b10103103.asc,3,7,1,2,6,3
1,b10103104.asc,4,6,1,2,6,3
1,b10103105.asc,5,5,1,2,6,3
1,b10103106.asc,6,4,1,2,6,3
1,b10103114.asc,14,11,2,2,6,3
1,b10103115.asc,15,3,1,2,6,3
1,b10103116.asc,16,2,1,2,6,3
1,b10103117.asc,17,1,1,2,6,3
1,b10103122.asc,22,10,2,2,6,3
,201012,,,,,,
1,b10120106.asc,6,4,1,2,6,3
1,b10120107.asc,7,0,0,2,6,3
1,b10120108.asc,8,4,2,2,6,3
1,b10120109.asc,9,5,2,2,6,3
1,b10120110.asc,10,6,2,2,6,3
1,b10120111.asc,11,7,2,2,6,3
1,b10120112.asc,12,8,2,2,6,3
1,b10120113.asc,13,9,2,2,6,3
1,b10120214.asc,14,11,2,2,6,3
1,b10120222.asc,22,10,2,2,6,3
1,b1012012a.asc,2-a,9,1,2,6,3
1,b10120101.asc,1,10,1,2,6,3
1,b10120102.asc,2,8,1,2,6,3
1,b10120103.asc,3,7,1,2,6,3
1,b10120104.asc,4,6,1,2,6,3
1,b10120105.asc,5,5,1,2,6,3
