tobashi,,st,lon,lat,tem,sal,oxg
,201201,,,,,,
1,12011722.asc,22,10,2,2,3,
1,12011713.asc,13,9,2,2,3,
1,12011714.asc,14,11,2,2,3,
,201202,,,,,,
1,a12021412.asc,12,8,2,2,6,3
1,a12021414.asc,14,11,2,2,6,3
1,a12021422.asc,22,10,2,2,6,3
1,a12021313.asc,13,9,2,2,6,3
1,a12021401.asc,1,10,1,2,6,3
1,a12021402.asc,2,8,1,2,6,3
1,a12021402a.asc,2-a,9,1,2,6,3
1,a12021403.asc,3,7,1,2,6,3
1,a12021404.asc,4,6,1,2,6,3
1,a12021405.asc,5,5,1,2,6,3
1,a12021406.asc,6,4,1,2,6,3
1,a12021407.asc,7,0,0,2,6,3
1,a12021408.asc,8,4,2,2,6,3
1,a12021409.asc,9,5,2,2,6,3
1,a12021410.asc,10,6,2,2,6,3
1,a12021411.asc,11,7,2,2,6,3
,201203,,,,,,
1,b12022911.asc,11,7,2,2,6,3
1,b12022912.asc,12,8,2,2,6,3
1,b12022915.asc,15,3,1,2,6,3
1,b12022916.asc,16,2,1,2,6,3
1,b12022917.asc,17,1,1,2,6,3
1,b12022918.asc,18,0,0,2,6,3
1,b12022919.asc,19,1,2,2,6,3
1,b12022920.asc,20,2,2,2,6,3
1,b12022921.asc,21,3,2,2,6,3
1,b12030101.asc,1,10,1,2,6,3
1,b12030102.asc,2,8,1,2,6,3
1,b12030102a.asc,2-a,9,1,2,6,3
1,b12030103.asc,3,7,1,2,6,3
1,b12030104.asc,4,6,1,2,6,3
1,b12030114.asc,14,11,2,2,6,3
1,b12030122.asc,22,10,2,2,6,3
1,b12022813.asc,13,9,2,2,6,3
1,b12022905.asc,5,5,1,2,6,3
1,b12022906.asc,6,4,1,2,6,3
1,b12022908.asc,8,4,2,2,6,3
1,b12022909.asc,9,5,2,2,6,3
1,b12022910.asc,10,6,2,2,6,3
,201204,,,,,,
1,12041008.asc,8,4,2,2,6,3
1,12041009.asc,9,5,2,2,6,3
1,12041010.asc,10,6,2,2,6,3
1,12041011.asc,11,7,2,2,6,3
1,12041012.asc,12,8,2,2,6,3
1,12041013.asc,13,9,2,2,6,3
1,12041101a.asc,1-a,0,0,2,6,3
1,12041102.asc,2,8,1,2,6,3
1,12041102a.asc,2-a,9,1,2,6,3
1,12041103.asc,3,7,1,2,6,3
1,12041114.asc,14,11,2,2,6,3
1,12041122.asc,22,10,2,2,6,3
1,12041004.asc,4,6,1,2,6,3
1,12041005.asc,5,5,1,2,6,3
1,12041006.asc,6,4,1,2,6,3
1,12041007.asc,7,0,0,2,6,3
,201205,,,,,,
1,12050803.asc,3,7,1,2,3,
1,12050804.asc,4,6,1,2,3,
1,12050805.asc,5,5,1,2,3,
1,12050806.asc,6,4,1,2,3,
1,12050807.asc,7,0,0,2,3,
1,12050708.asc,8,4,2,2,3,
1,12050709.asc,9,5,2,2,3,
1,12050710.asc,10,6,2,2,3,
1,12050711.asc,11,7,2,2,3,
1,12050712.asc,12,8,2,2,3,
1,12050713.asc,13,9,2,2,3,
1,12050714.asc,14,11,2,2,3,
1,12050722.asc,22,10,2,2,3,
1,12050801.asc,1,10,1,2,3,
1,12050802.asc,2,8,1,2,3,
1,12050802a.asc,2-a,9,1,2,3,
,201206,,,,,,
1,b12060618.asc,18,0,0,2,6,3
1,b12060619.asc,19,1,2,2,6,3
1,b12060620.asc,20,2,2,2,6,3
1,b12060621.asc,21,3,2,2,6,3
1,b12060701.asc,1,10,1,2,6,3
1,b12060702.asc,2,8,1,2,6,3
1,b12060702a.asc,2-a,9,1,2,6,3
1,b12060703.asc,3,7,1,2,6,3
1,b12060704.asc,4,6,1,2,6,3
1,b12060705.asc,5,5,1,2,6,3
1,b12060714.asc,14,11,2,2,6,3
1,b12060722.asc,22,10,2,2,6,3
1,b12060513.asc,13,9,2,2,6,3
1,b12060606.asc,6,4,1,2,6,3
1,b12060608.asc,8,4,2,2,6,3
1,b12060609.asc,9,5,2,2,6,3
1,b12060610.asc,10,6,2,2,6,3
1,b12060611.asc,11,7,2,2,6,3
1,b12060612.asc,12,8,2,2,6,3
1,b12060615.asc,15,3,1,2,6,3
1,b12060616.asc,16,2,1,2,6,3
1,b12060617.asc,17,1,1,2,6,3
,201207,,,,,,
1,12070213.asc,13,9,2,2,3,
1,12070214.asc,14,11,2,2,3,
1,12070222.asc,22,10,2,2,3,
,202108,,,,,,
1,12072608.asc,8,4,2,2,3,
1,12072609.asc,9,5,2,2,3,
1,12072610.asc,10,6,2,2,3,
1,12072611.asc,11,7,2,2,3,
1,12072612.asc,12,8,2,2,3,
1,12072613.asc,13,9,2,2,3,
1,12072614.asc,14,11,2,2,3,
1,12072622.asc,22,10,2,2,3,
1,12072701.asc,1,10,1,2,3,
1,12072702.asc,2,8,1,2,3,
1,12072702a.asc,2-a,9,1,2,3,
1,12072703.asc,3,7,1,2,3,
1,12072704.asc,4,6,1,2,3,
1,12072705.asc,5,5,1,2,3,
1,12072606.asc,6,4,1,2,3,
1,12072607.asc,7,0,0,2,3,
,201209,,,,,,
1,b12090306.asc,6,4,1,2,6,3
1,b12090308.asc,8,4,2,2,6,3
1,b12090309.asc,9,5,2,2,6,3
1,b12090310.asc,10,6,2,2,6,3
1,b12090315.asc,15,3,1,2,6,3
1,b12090316.asc,16,2,1,2,6,3
1,b12090317.asc,17,1,1,2,6,3
1,b12090318.asc,18,0,0,2,6,3
1,b12090319.asc,19,1,2,2,6,3
1,b12090320.asc,20,2,2,2,6,3
1,b12090321.asc,21,3,2,2,6,3
1,b12090401.asc,1,10,1,2,6,3
1,b12090402.asc,2,8,1,2,6,3
1,b12090402-a.asc,2-a,9,1,2,6,3
1,b12090403.asc,3,7,1,2,6,3
1,b12090414.asc,14,11,2,2,6,3
1,b12090422.asc,22,10,2,2,6,3
1,b12090211.asc,11,7,2,2,6,3
1,b12090212.asc,12,8,2,2,6,3
1,b12090213.asc,13,9,2,2,6,3
1,b12090304.asc,4,6,1,2,6,3
1,b12090305.asc,5,5,1,2,6,3
,201210,,,,,,
1,b12092701.asc,1,10,1,2,6,3
1,b12092702.asc,2,8,1,2,6,3
1,b12092702a.asc,2-a,9,1,2,6,3
1,b12092706.asc,6,4,1,2,6,3
1,b12092707.asc,7,0,0,2,6,3
1,b12092708.asc,8,4,2,2,6,3
1,b12092709.asc,9,5,2,2,6,3
1,b12092710.asc,10,6,2,2,6,3
1,b12092711.asc,11,7,2,2,6,3
1,b12092712.asc,12,8,2,2,6,3
1,b12092713.asc,13,9,2,2,6,3
1,b12092714.asc,14,11,2,2,6,3
1,b12092722.asc,22,10,2,2,6,3
1,b12092803.asc,3,7,1,2,6,3
1,b12092804.asc,4,6,1,2,6,3
1,b12092805.asc,5,5,1,2,6,3
,201211,,,,,,
1,b12102702.asc,2,8,1,2,6,3
1,b12102702-a.asc,2-a,9,1,2,6,3
1,b12102703.asc,3,7,1,2,6,3
1,b12102704.asc,4,6,1,2,6,3
1,b12102705.asc,5,5,1,2,6,3
1,b12102706.asc,6,4,1,2,6,3
1,b12102714.asc,14,11,2,2,6,3
1,b12102722.asc,22,10,2,2,6,3
1,b12102608.asc,8,4,2,2,6,3
1,b12102609.asc,9,5,2,2,6,3
1,b12102610.asc,10,6,2,2,6,3
1,b12102611.asc,11,7,2,2,6,3
1,b12102612.asc,12,8,2,2,6,3
1,b12102613.asc,13,9,2,2,6,3
1,b12102615.asc,15,3,1,2,6,3
1,b12102616.asc,16,2,1,2,6,3
1,b12102617.asc,17,1,1,2,6,3
1,b12102618.asc,18,0,0,2,6,3
1,b12102619.asc,19,1,2,2,6,3
1,b12102620.asc,20,2,2,2,6,3
1,b12102621.asc,21,3,2,2,6,3
1,b12102701.asc,1,10,1,2,6,3
,201212,,,,,,
