   0.0000   0.0000   0.0000   0.0000  25.7498  22.8272 -19.7495  17.7398  30.2115
   0.0000   0.0000   0.0000   0.0000  25.4900  22.7957 -19.7209  17.7109  30.1210
   0.0000   0.0000   0.0000   0.0000  25.2259  22.7637 -19.6919  17.6819  30.0298
   0.0000   0.0000   0.0000   0.0000  24.9567  22.7322 -19.6633  17.6533  29.9377
   0.0000   0.0000   0.0000   0.0000  24.6860  22.6998 -19.6349  17.6255  29.8450
   0.0000   0.0000   0.0000   0.0000  24.4140  22.6675 -19.6064  17.5979  29.7517
   0.0000   0.0000   0.0000   0.0000  24.1415  22.6350 -19.5772  17.5689  29.6582
   0.0000   0.0000   0.0000   0.0000  23.8703  22.6001 -19.5458  17.5384  29.5640
   0.0000   0.0000   0.0000   0.0000  23.6012  22.5629 -19.5121  17.5059  29.4689
   0.0000   0.0000   0.0000   0.0000  23.3332  22.5253 -19.4776  17.4726  29.3724
   0.0000   0.0000   0.0000   0.0000  23.0669  22.4873 -19.4438  17.4385  29.2755
   0.0000   0.0000   0.0000   0.0000  22.8034  22.4473 -19.4100  17.4035  29.1777
   0.0000   0.0000   0.0000   0.0000  22.5415  22.4048 -19.3752  17.3672  29.0795
   0.0000   0.0000   0.0000   0.0000  22.2802  22.3629 -19.3421  17.3299  28.9812
   0.0000   0.0000   0.0000   0.0000  22.0225  22.3183 -19.3096  17.2915  28.8825
   0.0000   0.0000   0.0000   0.0000  21.7640  22.2746 -19.2760  17.2513  28.7833
   0.0000   0.0000   0.0000   0.0000  21.5058  22.2301 -19.2418  17.2103  28.6840
   0.0000   0.0000   0.0000   0.0000  21.2493  22.1834 -19.2054  17.1672  28.5845
   0.0000   0.0000   0.0000   0.0000  20.9921  22.1367 -19.1638  17.1186  28.4854
   0.0000   0.0000   0.0000   0.0000  20.7342  22.0897 -19.1182  17.0655  28.3871
   0.0000   0.0000   0.0000   0.0000  20.4755  22.0432 -19.0688  17.0079  28.2886
   0.0000   0.0000   0.0000   0.0000  20.2169  21.9960 -19.0169  16.9476  28.1897
   0.0000   0.0000   0.0000   0.0000  19.9585  21.9483 -18.9638  16.8861  28.0908
   0.0000   0.0000   0.0000   0.0000  19.7002  21.9002 -18.9093  16.8233  27.9922
   0.0000   0.0000   0.0000   0.0000  19.4427  21.8506 -18.8542  16.7604  27.8936
   0.0000   0.0000   0.0000   0.0000  19.1873  21.7978 -18.7976  16.6967  27.7950
   0.0000   0.0000   0.0000   0.0000  18.9337  21.7425 -18.7396  16.6317  27.6963
   0.0000   0.0000   0.0000   0.0000  18.6815  21.6856 -18.6805  16.5656  27.5975
   0.0000   0.0000   0.0000   0.0000  18.4305  21.6285 -18.6211  16.4977  27.4989
   0.0000   0.0000   0.0000   0.0000  18.1807  21.5712 -18.5616  16.4287  27.4001
